id,document_id,user_id,"created_at","updated_at"
165,165,3,"2017-05-23 16:18:20","2017-05-23 16:18:20"
166,166,3,"2017-05-23 16:30:52","2017-05-23 16:30:52"
167,167,3,"2017-05-23 16:40:43","2017-05-23 16:40:43"
170,170,3,"2017-05-23 16:46:42","2017-05-23 16:46:42"
171,171,3,"2017-05-23 16:49:11","2017-05-23 16:49:11"
172,172,4,"2017-05-23 17:04:17","2017-05-23 17:04:17"
173,173,9,"2017-05-23 17:12:35","2017-05-23 17:12:35"
174,174,1,"2017-05-23 17:50:31","2017-05-23 17:50:31"
175,175,1,"2017-05-23 17:51:17","2017-05-23 17:51:17"
176,176,1,"2017-05-23 17:51:21","2017-05-23 17:51:21"
177,177,1,"2017-05-23 18:01:56","2017-05-23 18:01:56"
178,178,3,"2017-05-23 18:02:12","2017-05-23 18:02:12"
179,179,3,"2017-05-23 18:04:51","2017-05-23 18:04:51"
180,180,3,"2017-05-23 18:10:11","2017-05-23 18:10:11"
181,181,3,"2017-05-23 18:13:47","2017-05-23 18:13:47"
182,182,3,"2017-05-23 18:17:27","2017-05-23 18:17:27"
183,183,4,"2017-05-23 18:19:40","2017-05-23 18:19:40"
184,184,4,"2017-05-23 18:34:43","2017-05-23 18:34:43"
186,186,2,"2017-05-23 18:55:47","2017-05-23 18:55:47"
187,187,4,"2017-05-23 19:12:52","2017-05-23 19:12:52"
188,188,4,"2017-05-23 19:20:41","2017-05-23 19:20:41"
189,189,4,"2017-05-23 19:22:21","2017-05-23 19:22:21"
190,190,1,"2017-05-23 19:23:24","2017-05-23 19:23:24"
191,191,4,"2017-05-23 19:48:27","2017-05-23 19:48:27"
192,192,9,"2017-05-23 19:51:41","2017-05-23 19:51:41"
193,193,9,"2017-05-23 19:59:16","2017-05-23 19:59:16"
194,194,9,"2017-05-23 20:03:55","2017-05-23 20:03:55"
195,195,9,"2017-05-23 20:10:14","2017-05-23 20:10:14"
196,196,4,"2017-05-23 20:10:28","2017-05-23 20:10:28"
197,197,9,"2017-05-23 20:22:12","2017-05-23 20:22:12"
198,198,9,"2017-05-23 20:28:40","2017-05-23 20:28:40"
199,199,9,"2017-05-23 20:36:17","2017-05-23 20:36:17"
200,200,9,"2017-05-23 20:40:48","2017-05-23 20:40:48"
201,201,4,"2017-05-23 20:41:54","2017-05-23 20:41:54"
202,202,9,"2017-05-23 20:46:52","2017-05-23 20:46:52"
203,203,9,"2017-05-23 21:07:52","2017-05-23 21:07:52"
204,204,3,"2017-05-23 21:37:16","2017-05-23 21:37:16"
205,205,9,"2017-05-23 21:49:52","2017-05-23 21:49:52"
206,206,4,"2017-05-23 22:02:22","2017-05-23 22:02:22"
207,207,3,"2017-05-24 14:48:46","2017-05-24 14:48:46"
208,208,3,"2017-05-24 15:22:33","2017-05-24 15:22:33"
210,210,3,"2017-05-24 15:40:55","2017-05-24 15:40:55"
211,211,9,"2017-05-24 15:48:33","2017-05-24 15:48:33"
212,212,3,"2017-05-24 16:19:33","2017-05-24 16:19:33"
213,213,9,"2017-05-24 16:44:14","2017-05-24 16:44:14"
214,214,3,"2017-05-24 16:46:51","2017-05-24 16:46:51"
215,215,4,"2017-05-24 16:50:34","2017-05-24 16:50:34"
216,216,4,"2017-05-24 16:55:37","2017-05-24 16:55:37"
217,217,3,"2017-05-24 17:56:44","2017-05-24 17:56:44"
218,218,3,"2017-05-24 18:15:56","2017-05-24 18:15:56"
219,219,1,"2017-05-24 18:17:40","2017-05-24 18:17:40"
220,220,3,"2017-05-24 18:23:30","2017-05-24 18:23:30"
221,221,3,"2017-05-24 18:35:53","2017-05-24 18:35:53"
222,222,3,"2017-05-24 18:40:42","2017-05-24 18:40:42"
223,223,3,"2017-05-24 18:45:00","2017-05-24 18:45:00"
224,224,3,"2017-05-24 18:52:02","2017-05-24 18:52:02"
225,225,9,"2017-05-24 19:28:07","2017-05-24 19:28:07"
226,226,9,"2017-05-24 20:03:49","2017-05-24 20:03:49"
227,227,9,"2017-05-24 20:04:53","2017-05-24 20:04:53"
228,228,9,"2017-05-24 20:11:07","2017-05-24 20:11:07"
229,229,9,"2017-05-24 20:19:05","2017-05-24 20:19:05"
230,230,3,"2017-05-24 20:44:39","2017-05-24 20:44:39"
231,231,9,"2017-05-24 20:50:20","2017-05-24 20:50:20"
232,232,3,"2017-05-24 20:55:55","2017-05-24 20:55:55"
233,233,2,"2017-05-24 22:09:05","2017-05-24 22:09:05"
234,234,1,"2017-05-25 13:42:26","2017-05-25 13:42:26"
235,235,3,"2017-05-25 13:50:21","2017-05-25 13:50:21"
236,236,3,"2017-05-25 13:54:55","2017-05-25 13:54:55"
237,237,4,"2017-05-25 15:14:17","2017-05-25 15:14:17"
238,238,4,"2017-05-25 15:23:28","2017-05-25 15:23:28"
239,239,3,"2017-05-25 16:00:58","2017-05-25 16:00:58"
240,240,4,"2017-05-25 16:13:12","2017-05-25 16:13:12"
241,241,3,"2017-05-25 16:51:15","2017-05-25 16:51:15"
242,242,3,"2017-05-25 16:52:29","2017-05-25 16:52:29"
243,243,3,"2017-05-25 16:57:12","2017-05-25 16:57:12"
244,244,9,"2017-05-25 17:31:11","2017-05-25 17:31:11"
245,245,9,"2017-05-25 18:51:28","2017-05-25 18:51:28"
246,246,9,"2017-05-25 18:55:12","2017-05-25 18:55:12"
247,247,9,"2017-05-25 19:28:30","2017-05-25 19:28:30"
248,248,85,"2017-05-25 20:29:53","2017-05-25 20:29:53"
249,249,3,"2017-05-26 14:13:50","2017-05-26 14:13:50"
250,250,3,"2017-05-26 14:18:12","2017-05-26 14:18:12"
251,251,9,"2017-05-26 15:06:44","2017-05-26 15:06:44"
252,252,9,"2017-05-26 15:55:11","2017-05-26 15:55:11"
253,253,9,"2017-05-26 15:55:46","2017-05-26 15:55:46"
254,254,9,"2017-05-26 16:47:13","2017-05-26 16:47:13"
255,255,9,"2017-05-26 16:48:07","2017-05-26 16:48:07"
256,256,66,"2017-05-26 19:41:05","2017-05-26 19:41:05"
257,257,2,"2017-05-26 20:03:13","2017-05-26 20:03:13"
259,259,2,"2017-05-26 20:05:17","2017-05-26 20:05:17"
260,260,66,"2017-05-28 13:58:01","2017-05-28 13:58:01"
261,261,66,"2017-05-28 14:02:10","2017-05-28 14:02:10"
262,262,66,"2017-05-28 14:33:02","2017-05-28 14:33:02"
263,263,66,"2017-05-28 15:22:03","2017-05-28 15:22:03"
264,264,66,"2017-05-28 15:22:05","2017-05-28 15:22:05"
265,265,66,"2017-05-29 14:51:25","2017-05-29 14:51:25"
266,266,22,"2017-05-30 19:06:29","2017-05-30 19:06:29"
267,267,22,"2017-05-30 19:12:34","2017-05-30 19:12:34"
268,268,77,"2017-05-30 22:03:35","2017-05-30 22:03:35"
269,269,7,"2017-06-01 18:11:37","2017-06-01 18:11:37"
270,270,7,"2017-06-01 18:12:18","2017-06-01 18:12:18"
271,271,7,"2017-06-01 18:14:07","2017-06-01 18:14:07"
272,272,7,"2017-06-01 18:15:25","2017-06-01 18:15:25"
273,273,7,"2017-06-01 18:15:44","2017-06-01 18:15:44"
274,274,7,"2017-06-01 18:17:49","2017-06-01 18:17:49"
275,275,7,"2017-06-01 18:18:42","2017-06-01 18:18:42"
276,276,7,"2017-06-01 18:20:13","2017-06-01 18:20:13"
277,277,3,"2017-06-01 18:37:19","2017-06-01 18:37:19"
278,278,7,"2017-06-01 18:45:09","2017-06-01 18:45:09"
280,280,7,"2017-06-01 18:47:06","2017-06-01 18:47:06"
281,281,4,"2017-06-01 20:11:05","2017-06-01 20:11:05"
282,282,7,"2017-06-02 00:19:21","2017-06-02 00:19:21"
283,283,7,"2017-06-02 00:20:07","2017-06-02 00:20:07"
284,284,7,"2017-06-02 00:20:57","2017-06-02 00:20:57"
285,285,7,"2017-06-02 00:23:24","2017-06-02 00:23:24"
286,286,7,"2017-06-02 00:24:19","2017-06-02 00:24:19"
287,287,2,"2017-06-02 03:54:06","2017-06-02 03:54:06"
288,288,7,"2017-06-02 05:08:26","2017-06-02 05:08:26"
289,289,7,"2017-06-02 05:09:21","2017-06-02 05:09:21"
290,290,1,"2017-06-02 13:32:10","2017-06-02 13:32:10"
291,291,7,"2017-06-02 16:05:06","2017-06-02 16:05:06"
292,292,30,"2017-06-03 23:09:12","2017-06-03 23:09:12"
293,293,7,"2017-06-05 02:01:14","2017-06-05 02:01:14"
294,294,7,"2017-06-05 02:02:33","2017-06-05 02:02:33"
295,295,7,"2017-06-05 12:45:00","2017-06-05 12:45:00"
