"id","campaign_id","template_id","created_at","updated_at"
465,17,39,"2019-10-11 15:04:21","2019-10-11 15:04:21"
466,18,39,"2019-10-11 15:04:21","2019-10-11 15:04:21"
467,19,39,"2019-10-11 15:04:21","2019-10-11 15:04:21"
471,9,29,"2019-10-11 16:12:20","2019-10-11 16:12:20"
524,17,40,"2020-04-14 19:57:43","2020-04-14 19:57:43"
533,17,41,"2020-04-14 20:42:38","2020-04-14 20:42:38"
534,17,42,"2020-04-14 20:43:54","2020-04-14 20:43:54"
536,17,44,"2020-04-14 20:48:45","2020-04-14 20:48:45"
542,17,45,"2020-06-23 16:06:23","2020-06-23 16:06:23"
547,17,43,"2020-08-27 16:20:58","2020-08-27 16:20:58"
